,Headline,Date,Description
769,Johnson remains cautious on easing England’s lockdown,2021-02-04 00:01:35,"<span>...using Oxford/AstraZeneca’s vaccine for the first dose, followed by BioNTech/<mark class=""search-item__highlight"">Pfizer</mark>’s alternative for the second.The government is providing £7m towards the...</span>"
768,BioNTech fund pays €600m dividend on back of vaccine success,2021-02-04 14:47:14,"<span>...coronavirus project in February 2020. The success of the vaccine, developed with <mark class=""search-item__highlight"">Pfizer</mark>, has changed its fortunes. Since listing on New York’s Nasdaq in...</span>"
767,Coronavirus: Gilead’s Covid drug delivers $2bn boost to quarterly revenue — as it happened,2021-02-04 22:24:54,"<span class=""save-button-longer-copy"" data-variant-label="""">Save </span>"
766,J&J seeks US authorisation for Covid-19 vaccine,2021-02-04 23:53:24,"<span>...moderate and severe disease, lower than the first shots approved from BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Moderna, but above the minimum bar of 50 per cent set...</span>"
765,Silver Lake outmanoeuvres rivals to win big with cinema bet,2021-02-05 04:00:17,"<span class=""o-teaser__tag-prefix"">News in-depth</span>"
764,Israel provides first signs of mass vaccination driving down virus cases,2021-02-05 13:57:01,"<span>...and above had received at least their first dose of the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine by 15 January, with mass rollout of the second dose beginning...</span>"
763,Sanofi to expand cost-savings push to bolster R&D efforts ,2021-02-05 17:34:43,"<span>...by three to six months. The mishap left Sanofi trailing competitors BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Moderna, whose vaccines are being administered to millions globally.“We continue...</span>"
762,The race to vaccinate: This week’s key developments,2021-02-05 18:44:17,"<span>...have a vaccine surplus, as does Israel, thanks to a deal promising <mark class=""search-item__highlight"">Pfizer</mark> access to data from the country’s vaccination programme in return for...</span>"
461,"How AstraZeneca’s vaccine was hit by flawed trials, defects and politics — but might still save the world",2021-02-05 19:39:41,"<span class=""o-teaser__tag-prefix"">FT Collections</span>"
460,Coronavirus: New York expands vaccine eligibility to those with underlying conditions — as it happened,2021-02-06 00:59:45,"<span class=""save-button-longer-copy"" data-variant-label="""">Save </span>"
459,"Oxford/AstraZeneca jab fails to prevent mild and moderate Covid from S African strain, study shows",2021-02-07 11:40:54,"<span>...African variant, after studies showed its vaccine was significantly less effective. BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> said their vaccine was slightly less effective in a lab study using...</span>"
458,López Obrador’s pandemic optimism falls flat after he catches Covid-19,2021-02-08 05:00:53,"<span class=""o-teaser__tag-prefix"">Global Insight</span>"
457,South Africa halts rollout of AstraZeneca vaccine,2021-02-08 10:10:19,"<span>...has so far secured 9m J&amp;J doses and 20m doses of <mark class=""search-item__highlight"">Pfizer</mark>’s vaccine. “What will be available to the health workers will be...</span>"
456,What we know about the most troublesome Covid mutations ,2021-02-08 18:50:27,"<span class=""o-teaser__tag-prefix"">Explainer</span>"
455,South Africa forced to overhaul vaccine plan over variant fears,2021-02-09 05:00:21,"<span>...against the variant.”South Africa has also secured 20m doses from BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> for delivery in the second quarter, plus 110,000 BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> doses...</span>"
454,Von der Leyen acknowledges errors in EU Covid vaccines strategy,2021-02-10 11:05:22,"<span>...signed up months earlier than the EU for contracts for the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Oxford/AstraZeneca jabs, the two main ones being used in Europe...</span>"
453,How the UK boosted its vaccine manufacturing capacity ,2021-02-10 12:00:58,"<span class=""o-teaser__tag-prefix"">News in-depth</span>"
452,Fed faces questions about future of emergency lending,2021-02-10 18:44:25,"<span>...share of vaccines.There was some good vaccine news today, however: BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> said its coronavirus vaccine offered two-thirds protection after just one shot...</span>"
451,Wall Street closes lower after tame US inflation data,2021-02-10 21:38:02,"<span class=""save-button-longer-copy"" data-variant-label="""">Save </span>"
450,Single dose of Pfizer vaccine shows signs of success in UK,2021-02-10 23:12:16,"<span>Single dose of <mark class=""search-item__highlight"">Pfizer</mark> vaccine shows signs of success in UK</span>"
448,Vaccines vs variants: the race to immunise the developing world,2021-02-11 05:00:48,"<span>...compounded by the fact that it did not initially order the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Moderna vaccines, the first to be approved, because they were more...</span>"
449,Iran’s vaccination drive becomes ensnared in geopolitics,2021-02-11 05:00:48,"<span>...V over the next two months. Some Iranian doctors say the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> was, in any case, beyond Iran’s budget, and would have been...</span>"
447,AstraZeneca aims to accelerate adaptation of vaccine for new Covid variants,2021-02-11 08:25:03,"<span>...for weeks — is less easy to adapt than rival jabs from BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Moderna using messenger RNA.AstraZeneca’s Pangalos has previously said mRNA...</span>"
446,South Africa’s problems only begin with its Covid variant,2021-02-11 12:00:47,"<span>...for the Johnson &amp; Johnson vaccine. Others to be used include the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine and possibly Russia’s Sputnik V and China’s Sinopharm. Even...</span>"
445,FirstFT: Today’s top stories,2021-02-11 12:44:06,"<span class=""save-button-longer-copy"" data-variant-label="""">Save </span>"
444,Will luxury property lead a recovery in San Francisco?,2021-02-11 15:47:55,"<span>...weekend of November when the electoral college was called for Biden and <mark class=""search-item__highlight"">Pfizer</mark> announced its Covid-19 vaccine was 90 per cent effective. “Those two...</span>"
443,African countries unsure whether to use Oxford/AstraZeneca jab,2021-02-11 17:17:50,"<span>...vaccinations shortly with Johnson &amp; Johnson’s one-dose shot and the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> jab. Zweli Mkhize, the country’s health minister, said Pretoria was exploring...</span>"
442,Coronavirus: Florida governor hits back at possible travel restrictions to curb Covid strains — as it happened,2021-02-11 22:03:16,"<span class=""save-button-longer-copy"" data-variant-label="""">Save </span>"
441,We need a remedy for the vaccine data epidemic,2021-02-12 05:00:27,"<span>...to shun it.The Sun reported that one shot of the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine had given over-80s 64 per cent protection against symptomatic infection...</span>"
440,Another pandemic need never happen,2021-02-12 13:46:47,"<span>...of the Sars-Cov-2 genetic sequence in January 2020 to BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> ’s submission of phase 3 clinical trial data for vaccine regulatory review...</span>"
439,UK vaccine rollout success built on NHS determination and military precision,2021-02-12 17:30:48,"<span>...originally discussed the importance of aligning the dosing intervals for the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Oxford/AstraZeneca vaccines, which were meant to be given respectively three...</span>"
438,Can Covax deliver the vaccines much of the world needs?,2021-02-12 20:18:19,"<span>...AstraZeneca vaccine to arrive within weeks, along with some doses from BioNTech/<mark class=""search-item__highlight"">Pfizer</mark>.He added that Covax had promised to deliver 7m doses by the...</span>"
437,Commodity rally raises hopes of new bull run,2021-02-13 05:00:58,"<span class=""o-teaser__tag-prefix"">The Long View</span>"
111,"UK bank earnings, US retail sales set to rebound, flash PMIs",2021-02-14 16:36:38,"<span>...WHO’s seal of approval, has already been granted for the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> shot.UK hotel quarantineAll passengers arriving into England from a list of...</span>"
110,Japan powers out of coronavirus dip with 3% fourth-quarter growth,2021-02-15 05:50:13,"<span>...in large cities remains in place.Japan has also approved the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine and expects to start inoculations of healthcare workers this week, giving...</span>"
109,Biden steps up stimulus pitch in push to seal deal with Congress ,2021-02-15 17:43:36,"<span>...spotlight on Biden’s other initiatives, including a Thursday visit to a <mark class=""search-item__highlight"">Pfizer</mark> vaccine plant and remarks via videoconference on Friday at the Munich security...</span>"
108,Novavax to complete US vaccine trial enrolment in record time,2021-02-15 17:53:35,"<span>...emergency use authorisation in the US for Covid-19. Vaccines from BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Moderna have received emergency approval, while the regulator’s vaccine advisory...</span>"
107,AstraZeneca hands chief £15.4m pay package,2021-02-15 18:41:03,"<span>...was in the top quartile of a peer group that included GlaxoSmithKline, <mark class=""search-item__highlight"">Pfizer</mark> and Sanofi.Executives had driven a “remarkable” turnround in the company’s...</span>"
106,Why the three biggest vaccine makers failed on Covid-19,2021-02-16 05:00:10,"<span class=""o-teaser__tag-prefix"">News in-depth</span>"
105,A universal Covid vaccine may be our best means of escape,2021-02-16 11:00:09,"<span>...halted its rollout.An unreviewed preprint suggests mRNA vaccines, like those from <mark class=""search-item__highlight"">Pfizer</mark> and Moderna, might also see their potency dented by the mutations first...</span>"
104,Coronavirus: Winter storm delays US vaccine deliveries – as it happened,2021-02-16 18:29:54,"<span class=""save-button-longer-copy"" data-variant-label="""">Save </span>"
103,UK anticipating dip in Covid vaccine supply in coming weeks,2021-02-16 19:05:35,"<span>...would affect her administration’s vaccine rollout in the coming weeks. While <mark class=""search-item__highlight"">Pfizer</mark> had not reduced the volumes it was sending to the UK, it...</span>"
102,Berkshire reveals confidential bets on Verizon and Chevron,2021-02-17 01:36:02,"<span>...stakes in AbbVie, Bristol-Myers Squibb and Merck, but sold out of <mark class=""search-item__highlight"">Pfizer</mark>.Investors are awaiting Mr Buffett’s annual letter to shareholders for clues...</span>"
101,Shortage of giant plastic bags threatens global vaccines rollout,2021-02-17 05:00:53,"<span>...familiar with the matter.Covid-19 jabs developed by companies including BioNTech/<mark class=""search-item__highlight"">Pfizer</mark>, Moderna and Novavax are made in the bags — which are used as...</span>"
100,Japanese governor urges cancelling of Olympics as vaccinations start,2021-02-17 09:38:10,"<span>...the Tokyo Medical Center. He received the jab made by BioNTech and <mark class=""search-item__highlight"">Pfizer</mark> on television along with a group of 12 doctors and nurses.The...</span>"
